id_venda,data_venda,id_cliente,id_produto,quantidade,valor_unitario,desconto_pct,canal,status_pedido,valor_total_bruto,valor_final
1,2026-01-13,11309,1004,2,1093.26,0.0,app,concluído,2186.52,2186.52
2,2025-02-17,10865,1006,4,225.61,0.05,site,concluído,902.44,857.32
3,2025-03-25,10163,1008,1,848.64,0.0,marketplace,concluído,848.64,848.64
4,2025-10-18,10469,1002,2,76.64,0.0,app,concluído,153.28,153.28
5,2026-02-10,10186,1011,3,753.29,0.0,app,concluído,2259.87,2259.87
6,2025-08-10,10006,1003,4,141.09,0.0,site,concluído,564.36,564.36
7,2025-03-07,10161,1009,2,545.28,0.0,app,concluído,1090.56,1090.56
8,2025-02-06,10131,1004,5,1150.52,0.2,site,pendente,5752.6,4602.08
9,2025-12-11,11349,1008,1,910.72,0.0,site,concluído,910.72,910.72
10,2025-09-06,11335,1003,2,142.37,0.0,loja física,em separação,284.74,284.74
11,2025-09-15,11110,1001,1,3145.77,0.05,loja física,concluído,3145.77,2988.48
12,2025-03-09,10534,1005,1,1032.99,0.2,loja física,pendente,1032.99,826.39
13,2025-12-06,11440,1009,5,549.45,0.15,marketplace,concluído,2747.25,2335.16
14,2025-03-24,10566,1011,1,835.02,0.0,marketplace,concluído,835.02,835.02
15,2025-11-14,10430,1009,2,573.42,0.0,loja física,concluído,1146.84,1146.84
16,2025-06-06,10783,1008,2,851.68,0.0,marketplace,pendente,1703.36,1703.36
17,2025-08-12,10543,1012,1,450.03,0.1,marketplace,pendente,450.03,405.03
18,2025-07-26,10255,1007,1,332.02,0.0,marketplace,concluído,332.02,332.02
19,2025-05-26,11383,1003,4,131.9,0.0,site,concluído,527.6,527.6
20,2026-01-20,11426,1003,1,163.2,0.1,site,concluído,163.2,146.88
21,2026-01-16,10906,1008,4,816.11,0.1,app,pendente,3264.44,2938.0
22,2025-10-05,10312,1007,2,310.62,0.1,marketplace,concluído,621.24,559.12
23,2025-08-12,10858,1004,2,1161.73,0.0,marketplace,concluído,2323.46,2323.46
24,2025-08-10,10532,1006,3,218.93,0.0,marketplace,concluído,656.79,656.79
25,2025-12-25,10488,1004,5,1148.7,0.1,loja física,concluído,5743.5,5169.15
26,2026-02-12,11284,1010,1,83.64,0.0,site,concluído,83.64,83.64
27,2025-06-15,11332,1007,5,322.44,0.15,marketplace,pendente,1612.2,1370.37
28,2025-09-08,10565,1004,1,1311.19,0.15,loja física,concluído,1311.19,1114.51
29,2025-03-03,10627,1004,4,1170.31,0.0,marketplace,concluído,4681.24,4681.24
30,2025-02-22,10093,1003,2,158.08,0.1,loja física,cancelado,316.16,284.54
31,2025-08-15,10242,1007,1,244.15,0.0,loja física,concluído,244.15,244.15
32,2025-05-16,10590,1011,1,801.56,0.2,app,concluído,801.56,641.25
33,2025-08-13,11410,1009,2,499.26,0.2,loja física,em separação,998.52,798.82
34,2025-11-22,10963,1003,1,166.85,0.05,loja física,concluído,166.85,158.51
35,2025-09-23,10827,1001,1,3528.66,0.05,app,concluído,3528.66,3352.23
36,2025-09-13,10190,1011,1,753.01,0.15,app,concluído,753.01,640.06
37,2025-03-18,11039,1005,1,975.83,0.0,loja física,concluído,975.83,975.83
38,2025-02-21,11359,1003,3,149.91,0.0,marketplace,pendente,449.73,449.73
39,2025-05-01,10778,1001,2,3893.46,0.05,site,concluído,7786.92,7397.57
40,2025-09-12,10368,1007,4,344.53,0.0,app,concluído,1378.12,1378.12
41,2025-10-22,10407,1007,1,352.32,0.0,marketplace,concluído,352.32,352.32
42,2025-06-08,10389,1002,1,85.59,0.05,site,concluído,85.59,81.31
43,2025-03-14,10986,1008,3,934.18,0.0,site,concluído,2802.54,2802.54
44,2025-11-09,10760,1001,1,3454.94,0.15,marketplace,cancelado,3454.94,2936.7
45,2026-03-03,11426,1011,1,845.14,0.05,site,concluído,845.14,802.88
46,2025-01-26,10931,1011,1,812.85,0.0,site,cancelado,812.85,812.85
47,2026-02-09,10513,1001,5,3096.79,0.0,marketplace,pendente,15483.95,15483.95
48,2025-09-03,11349,1001,4,3833.4,0.15,site,pendente,15333.6,13033.56
49,2025-08-09,10881,1011,3,794.12,0.0,app,concluído,2382.36,2382.36
50,2025-07-01,11201,1002,3,85.42,0.0,loja física,concluído,256.26,256.26
51,2025-01-15,10878,1011,2,845.48,0.0,marketplace,concluído,1690.96,1690.96
52,2025-12-12,11162,1003,1,165.9,0.0,site,pendente,165.9,165.9
53,2025-08-10,10418,1005,3,982.26,0.05,marketplace,concluído,2946.78,2799.44
54,2025-08-10,11174,1002,2,86.02,0.0,loja física,concluído,172.04,172.04
55,2025-05-01,11086,1012,6,460.23,0.05,app,pendente,2761.38,2623.31
56,2026-02-12,10647,1008,2,872.94,0.05,marketplace,concluído,1745.88,1658.59
57,2025-09-14,10921,1010,1,87.68,0.0,loja física,concluído,87.68,87.68
58,2025-02-03,10837,1011,1,840.98,0.2,marketplace,em separação,840.98,672.78
59,2025-12-10,10173,1006,5,217.82,0.2,app,em separação,1089.1,871.28
60,2025-11-02,11105,1006,4,233.03,0.0,app,concluído,932.12,932.12
61,2025-09-15,10960,1005,4,879.62,0.05,loja física,em separação,3518.48,3342.56
62,2025-08-01,10301,1006,3,220.28,0.05,site,concluído,660.84,627.8
63,2025-02-10,11425,1010,3,103.04,0.1,site,concluído,309.12,278.21
64,2026-01-03,11023,1009,3,542.22,0.0,app,concluído,1626.66,1626.66
65,2025-05-04,10764,1002,4,81.95,0.15,marketplace,concluído,327.8,278.63
66,2025-09-21,10600,1006,2,224.53,0.1,marketplace,concluído,449.06,404.15
67,2025-08-10,10752,1007,3,315.76,0.0,site,concluído,947.28,947.28
68,2025-01-16,11374,1012,1,436.06,0.05,app,concluído,436.06,414.26
69,2025-09-13,11330,1012,2,368.48,0.05,app,concluído,736.96,700.11
70,2025-08-10,10654,1009,1,555.44,0.1,marketplace,concluído,555.44,499.9
71,2026-02-26,10134,1007,1,348.7,0.0,loja física,concluído,348.7,348.7
72,2026-03-10,10331,1009,1,545.55,0.0,marketplace,concluído,545.55,545.55
73,2025-08-10,10058,1004,2,1330.89,0.2,loja física,concluído,2661.78,2129.42
74,2025-06-13,10653,1006,1,234.59,0.1,site,concluído,234.59,211.13
75,2025-05-04,10631,1009,2,506.66,0.0,loja física,concluído,1013.32,1013.32
76,2026-01-27,10398,1007,1,351.2,0.05,loja física,concluído,351.2,333.64
77,2025-03-25,10305,1010,2,97.87,0.05,marketplace,concluído,195.74,185.95
78,2026-01-05,11288,1011,1,883.04,0.0,app,pendente,883.04,883.04
79,2025-12-28,10417,1012,1,421.83,0.0,site,concluído,421.83,421.83
80,2025-12-27,10504,1005,2,1092.27,0.0,marketplace,concluído,2184.54,2184.54
81,2025-04-20,11462,1005,2,1067.27,0.0,loja física,concluído,2134.54,2134.54
82,2025-11-30,10010,1008,3,984.22,0.05,loja física,cancelado,2952.66,2805.03
83,2025-10-18,11014,1001,3,3443.31,0.05,marketplace,em separação,10329.93,9813.43
84,2026-02-28,10690,1010,2,95.46,0.0,loja física,concluído,190.92,190.92
85,2025-12-20,10953,1009,2,569.67,0.0,marketplace,em separação,1139.34,1139.34
86,2025-02-09,11220,1012,5,432.44,0.0,marketplace,concluído,2162.2,2162.2
87,2025-08-10,10270,1001,1,3363.8,0.0,loja física,cancelado,3363.8,3363.8
88,2025-02-11,11322,1007,1,315.15,0.1,loja física,concluído,315.15,283.63
89,2026-01-07,10470,1005,1,1022.35,0.15,app,pendente,1022.35,869.0
90,2026-02-22,11105,1005,4,1060.39,0.0,app,concluído,4241.56,4241.56
91,2026-02-07,11138,1011,3,668.45,0.1,loja física,concluído,2005.35,1804.81
92,2025-10-02,10522,1006,5,198.52,0.15,site,não informado,992.6,843.71
93,2025-07-23,10389,1012,3,415.97,0.15,app,concluído,1247.91,1060.72
94,2025-06-01,11152,1005,4,969.88,0.0,loja física,cancelado,3879.52,3879.52
95,2026-02-23,11000,1001,2,3424.11,0.2,site,não informado,6848.22,5478.58
96,2026-02-17,11084,1009,2,513.51,0.05,loja física,concluído,1027.02,975.67
97,2025-07-13,10165,1007,1,339.88,0.1,loja física,pendente,339.88,305.89
98,2025-04-02,10095,1010,4,85.91,0.0,site,concluído,343.64,343.64
99,2025-04-29,11411,1002,1,66.62,0.15,loja física,concluído,66.62,56.63
100,2025-12-31,10504,1003,1,171.25,0.0,loja física,pendente,171.25,171.25
101,2026-01-07,10664,1007,3,299.25,0.1,site,concluído,897.75,807.97
102,2025-06-05,11280,1002,1,81.3,0.0,app,em separação,81.3,81.3
103,2025-08-10,10363,1012,2,469.71,0.2,loja física,em separação,939.42,751.54
104,2025-05-10,10837,1005,3,913.72,0.0,app,concluído,2741.16,2741.16
105,2025-10-16,10508,1011,3,652.89,0.15,site,concluído,1958.67,1664.87
106,2025-03-01,10706,1007,2,348.94,0.0,site,concluído,697.88,697.88
107,2025-10-14,10336,1003,1,165.25,0.0,marketplace,em separação,165.25,165.25
108,2025-08-23,10128,1006,2,233.57,0.0,app,cancelado,467.14,467.14
109,2025-12-22,10641,1003,1,150.84,0.2,marketplace,concluído,150.84,120.67
110,2025-07-29,10019,1009,2,582.49,0.2,loja física,concluído,1164.98,931.98
111,2025-08-06,11112,1008,3,859.25,0.05,app,concluído,2577.75,2448.86
112,2025-10-19,11295,1004,5,1378.56,0.0,site,concluído,6892.8,6892.8
