id_venda,data_venda,estado,produto,categoria,quantidade,valor_final
1,2026-01-13,SP,Monitor,Informática,2,2186.52
2,2025-02-17,CE,Webcam,Acessório,4,857.32
3,2025-03-25,CE,Impressora,Escritório,1,848.64
4,2025-10-18,PR,Mouse,Acessório,2,153.28
5,2026-02-10,PE,Mesa Escritório,Móveis,3,2259.87
6,2025-08-10,SP,Teclado,Acessório,4,564.36
7,2025-03-07,PE,Ssd 1Tb,Informática,2,1090.56
8,2025-02-06,BA,Monitor,Informática,5,4602.08
9,2025-12-11,MG,Impressora,Escritório,1,910.72
10,2025-09-06,MG,Teclado,Acessório,2,284.74
11,2025-09-15,RN,Notebook,Informática,1,2988.48
12,2025-03-09,RJ,Cadeira Gamer,Móveis,1,826.39
13,2025-12-06,PR,Ssd 1Tb,Informática,5,2335.16
14,2025-03-24,CE,Mesa Escritório,Móveis,1,835.02
15,2025-11-14,MG,Ssd 1Tb,Informática,2,1146.84
16,2025-06-06,BA,Impressora,Escritório,2,1703.36
17,2025-08-12,MG,Roteador,Redes,1,405.03
18,2025-07-26,BA,Headset,Acessório,1,332.02
19,2025-05-26,PR,Teclado,Acessório,4,527.6
20,2026-01-20,MG,Teclado,Acessório,1,146.88
21,2026-01-16,SP,Impressora,Escritório,4,2938.0
22,2025-10-05,PE,Headset,Acessório,2,559.12
23,2025-08-12,BA,Monitor,Informática,2,2323.46
24,2025-08-10,PR,Webcam,Acessório,3,656.79
25,2025-12-25,PE,Monitor,Informática,5,5169.15
26,2026-02-12,MG,Hub Usb,Acessório,1,83.64
27,2025-06-15,PE,Headset,Acessório,5,1370.37
28,2025-09-08,BA,Monitor,Informática,1,1114.51
29,2025-03-03,PE,Monitor,Informática,4,4681.24
30,2025-02-22,SP,Teclado,Acessório,2,284.54
31,2025-08-15,BA,Headset,Acessório,1,244.15
32,2025-05-16,RJ,Mesa Escritório,Móveis,1,641.25
33,2025-08-13,CE,Ssd 1Tb,Informática,2,798.82
34,2025-11-22,PR,Teclado,Acessório,1,158.51
35,2025-09-23,MG,Notebook,Informática,1,3352.23
36,2025-09-13,BA,Mesa Escritório,Móveis,1,640.06
37,2025-03-18,PR,Cadeira Gamer,Móveis,1,975.83
38,2025-02-21,PR,Teclado,Acessório,3,449.73
39,2025-05-01,PR,Notebook,Informática,2,7397.57
40,2025-09-12,PE,Headset,Acessório,4,1378.12
41,2025-10-22,PR,Headset,Acessório,1,352.32
42,2025-06-08,RJ,Mouse,Acessório,1,81.31
43,2025-03-14,RJ,Impressora,Escritório,3,2802.54
44,2025-11-09,BA,Notebook,Informática,1,2936.7
45,2026-03-03,MG,Mesa Escritório,Móveis,1,802.88
46,2025-01-26,RJ,Mesa Escritório,Móveis,1,812.85
47,2026-02-09,CE,Notebook,Informática,5,15483.95
48,2025-09-03,MG,Notebook,Informática,4,13033.56
49,2025-08-09,BA,Mesa Escritório,Móveis,3,2382.36
50,2025-07-01,BA,Mouse,Acessório,3,256.26
51,2025-01-15,CE,Mesa Escritório,Móveis,2,1690.96
52,2025-12-12,CE,Teclado,Acessório,1,165.9
53,2025-08-10,RN,Cadeira Gamer,Móveis,3,2799.44
54,2025-08-10,PR,Mouse,Acessório,2,172.04
55,2025-05-01,RJ,Roteador,Redes,6,2623.31
56,2026-02-12,CE,Impressora,Escritório,2,1658.59
57,2025-09-14,BA,Hub Usb,Acessório,1,87.68
58,2025-02-03,RJ,Mesa Escritório,Móveis,1,672.78
59,2025-12-10,CE,Webcam,Acessório,5,871.28
60,2025-11-02,MG,Webcam,Acessório,4,932.12
61,2025-09-15,BA,Cadeira Gamer,Móveis,4,3342.56
62,2025-08-01,BA,Webcam,Acessório,3,627.8
63,2025-02-10,BA,Hub Usb,Acessório,3,278.21
64,2026-01-03,CE,Ssd 1Tb,Informática,3,1626.66
65,2025-05-04,BA,Mouse,Acessório,4,278.63
66,2025-09-21,PR,Webcam,Acessório,2,404.15
67,2025-08-10,PE,Headset,Acessório,3,947.28
68,2025-01-16,CE,Roteador,Redes,1,414.26
69,2025-09-13,PE,Roteador,Redes,2,700.11
70,2025-08-10,BA,Ssd 1Tb,Informática,1,499.9
71,2026-02-26,PR,Headset,Acessório,1,348.7
72,2026-03-10,BA,Ssd 1Tb,Informática,1,545.55
73,2025-08-10,CE,Monitor,Informática,2,2129.42
74,2025-06-13,RJ,Webcam,Acessório,1,211.13
75,2025-05-04,PE,Ssd 1Tb,Informática,2,1013.32
76,2026-01-27,CE,Headset,Acessório,1,333.64
77,2025-03-25,MG,Hub Usb,Acessório,2,185.95
78,2026-01-05,PR,Mesa Escritório,Móveis,1,883.04
79,2025-12-28,PR,Roteador,Redes,1,421.83
80,2025-12-27,SP,Cadeira Gamer,Móveis,2,2184.54
81,2025-04-20,PR,Cadeira Gamer,Móveis,2,2134.54
82,2025-11-30,MG,Impressora,Escritório,3,2805.03
83,2025-10-18,CE,Notebook,Informática,3,9813.43
84,2026-02-28,BA,Hub Usb,Acessório,2,190.92
85,2025-12-20,CE,Ssd 1Tb,Informática,2,1139.34
86,2025-02-09,PR,Roteador,Redes,5,2162.2
87,2025-08-10,CE,Notebook,Informática,1,3363.8
88,2025-02-11,CE,Headset,Acessório,1,283.63
89,2026-01-07,BA,Cadeira Gamer,Móveis,1,869.0
90,2026-02-22,MG,Cadeira Gamer,Móveis,4,4241.56
91,2026-02-07,PE,Mesa Escritório,Móveis,3,1804.81
92,2025-10-02,CE,Webcam,Acessório,5,843.71
93,2025-07-23,RJ,Roteador,Redes,3,1060.72
94,2025-06-01,RN,Cadeira Gamer,Móveis,4,3879.52
95,2026-02-23,CE,Notebook,Informática,2,5478.58
96,2026-02-17,BA,Ssd 1Tb,Informática,2,975.67
97,2025-07-13,RN,Headset,Acessório,1,305.89
98,2025-04-02,PR,Hub Usb,Acessório,4,343.64
99,2025-04-29,RN,Mouse,Acessório,1,56.63
100,2025-12-31,SP,Teclado,Acessório,1,171.25
101,2026-01-07,SP,Headset,Acessório,3,807.97
102,2025-06-05,CE,Mouse,Acessório,1,81.3
103,2025-08-10,PR,Roteador,Redes,2,751.54
104,2025-05-10,RJ,Cadeira Gamer,Móveis,3,2741.16
105,2025-10-16,PR,Mesa Escritório,Móveis,3,1664.87
106,2025-03-01,BA,Headset,Acessório,2,697.88
107,2025-10-14,BA,Teclado,Acessório,1,165.25
108,2025-08-23,RN,Webcam,Acessório,2,467.14
109,2025-12-22,CE,Teclado,Acessório,1,120.67
110,2025-07-29,BA,Ssd 1Tb,Informática,2,931.98
111,2025-08-06,CE,Impressora,Escritório,3,2448.86
112,2025-10-19,RJ,Monitor,Informática,5,6892.8
113,2026-03-01,BA,Roteador,Redes,5,2024.35
114,2026-03-12,RN,Impressora,Escritório,1,911.53
115,2025-12-19,CE,Headset,Acessório,2,472.61
116,2025-01-05,PE,Monitor,Informática,1,1049.58
117,2025-11-09,CE,Ssd 1Tb,Informática,5,2860.25
118,2026-02-03,BA,Hub Usb,Acessório,4,424.88
119,2026-03-06,MG,Teclado,Acessório,2,307.1
120,2025-02-10,RN,Mouse,Acessório,4,248.13
121,2025-12-26,PE,Notebook,Informática,2,5898.29
122,2025-01-29,PR,Impressora,Escritório,6,4253.04
123,2025-08-02,BA,Webcam,Acessório,3,660.84
124,2025-08-26,BA,Hub Usb,Acessório,2,165.7
125,2025-09-09,BA,Monitor,Informática,3,3025.4
